Date,Open,High,Low,Close,Adj Close,Volume
2022-03-07,0.030595,0.030595,0.030299,0.030582,0.030582,0
2022-03-08,0.030300,0.030354,0.030111,0.030296,0.030296,0
2022-03-09,0.030133,0.030336,0.030093,0.030128,0.030128,0
2022-03-10,0.030350,0.030350,0.030157,0.030328,0.030328,0
2022-03-11,0.030215,0.030215,0.030021,0.030191,0.030191,0
2022-03-14,0.030063,0.030063,0.029903,0.030064,0.030064,0
2022-03-15,0.029929,0.029941,0.029797,0.029944,0.029944,0
2022-03-16,0.029851,0.030184,0.029824,0.029842,0.029842,0
2022-03-17,0.029992,0.030152,0.029940,0.029992,0.029992,0
2022-03-18,0.030106,0.030134,0.029940,0.030103,0.030103,0
2022-03-21,0.030013,0.030026,0.029797,0.030021,0.030021,0
2022-03-22,0.029762,0.029909,0.029674,0.029778,0.029778,0
2022-03-23,0.029871,0.029936,0.029691,0.029867,0.029867,0
2022-03-24,0.029741,0.029873,0.029667,0.029739,0.029739,0
2022-03-25,0.029830,0.029930,0.029762,0.029832,0.029832,0
2022-03-28,0.029731,0.029744,0.029595,0.029731,0.029731,0
2022-03-29,0.029600,0.029897,0.029601,0.029600,0.029600,0
2022-03-30,0.029857,0.030055,0.029797,0.029857,0.029857,0
2022-03-31,0.030013,0.030162,0.029949,0.030013,0.030013,0
2022-04-01,0.030086,0.030075,0.029871,0.030086,0.030086,0
2022-04-04,0.029869,0.029936,0.029815,0.029869,0.029869,0
2022-04-05,0.029905,0.029990,0.029842,0.029905,0.029905,0
2022-04-06,0.029809,0.029855,0.029735,0.029809,0.029809,0
2022-04-07,0.029788,0.029951,0.029759,0.029788,0.029788,0
2022-04-08,0.029862,0.029881,0.029718,0.029862,0.029862,0
2022-04-11,0.029812,0.029818,0.029700,0.029812,0.029812,0
2022-04-12,0.029735,0.029900,0.029675,0.029735,0.029735,0
2022-04-13,0.029809,0.029915,0.029795,0.029809,0.029809,0
2022-04-14,0.029891,0.029904,0.029665,0.029891,0.029891,0
2022-04-15,0.029710,0.029765,0.029674,0.029710,0.029710,0
2022-04-18,0.029764,0.029763,0.029675,0.029764,0.029764,0
2022-04-19,0.029689,0.029724,0.029585,0.029689,0.029689,0
2022-04-20,0.029609,0.029687,0.029521,0.029609,0.029609,0
2022-04-21,0.029602,0.029616,0.029507,0.029602,0.029602,0
2022-04-22,0.029504,0.029559,0.029429,0.029504,0.029504,0
2022-04-25,0.029459,0.029455,0.029291,0.029459,0.029459,0
2022-04-26,0.029359,0.029425,0.029146,0.029359,0.029359,0
2022-04-27,0.029210,0.029195,0.029070,0.029210,0.029210,0
2022-04-28,0.029113,0.029121,0.028994,0.029113,0.029113,0
2022-04-29,0.029041,0.029287,0.029036,0.029041,0.029041,0
2022-05-02,0.029249,0.029247,0.029011,0.029249,0.029249,0
2022-05-03,0.029017,0.029150,0.028952,0.029017,0.029017,0
2022-05-04,0.029140,0.029193,0.029104,0.029140,0.029140,0
2022-05-05,0.029369,0.029451,0.029078,0.029369,0.029369,0
2022-05-06,0.029155,0.029175,0.029036,0.029155,0.029155,0
2022-05-09,0.029103,0.029103,0.028874,0.029103,0.029103,0
2022-05-10,0.028910,0.029015,0.028882,0.028910,0.028910,0
2022-05-11,0.028862,0.028981,0.028818,0.028862,0.028862,0
2022-05-12,0.028879,0.028891,0.028777,0.028879,0.028879,0
2022-05-13,0.028793,0.028881,0.028736,0.028793,0.028793,0
2022-05-16,0.028861,0.028847,0.028703,0.028861,0.028861,0
2022-05-17,0.028820,0.029028,0.028810,0.028820,0.028820,0
2022-05-18,0.029004,0.029015,0.028843,0.029004,0.029004,0
2022-05-19,0.028924,0.029087,0.028843,0.028924,0.028924,0
2022-05-20,0.029089,0.029208,0.028986,0.029089,0.029089,0
2022-05-23,0.029137,0.029347,0.029095,0.029137,0.029137,0
2022-05-24,0.029295,0.029373,0.029191,0.029295,0.029295,0
2022-05-25,0.029331,0.029344,0.029121,0.029331,0.029331,0
2022-05-26,0.029206,0.029321,0.029121,0.029206,0.029206,0
2022-05-27,0.029225,0.029364,0.029220,0.029225,0.029225,0
2022-05-30,0.029345,0.029407,0.029300,0.029345,0.029345,0
2022-05-31,0.029336,0.029351,0.029112,0.029336,0.029336,0
2022-06-01,0.029212,0.029218,0.029087,0.029212,0.029212,0
2022-06-02,0.029101,0.029235,0.029044,0.029101,0.029101,0
2022-06-03,0.029208,0.029265,0.029087,0.029208,0.029208,0
2022-06-06,0.029121,0.029184,0.029019,0.029121,0.029121,0
2022-06-07,0.029044,0.029108,0.028986,0.029044,0.029044,0
2022-06-08,0.029065,0.029066,0.028952,0.029065,0.029065,0
2022-06-09,0.028995,0.029066,0.028935,0.028995,0.028995,0
2022-06-10,0.028940,0.028973,0.028711,0.028940,0.028940,0
2022-06-13,0.028735,0.028806,0.028620,0.028735,0.028735,0
2022-06-14,0.028700,0.028670,0.028539,0.028700,0.028700,0
2022-06-15,0.028555,0.028578,0.028495,0.028506,0.028506,0
